year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2016,11426,ZCTA5 11426,19991,8298,789,8917,3905,0,ACS 2016 5-year (ZCTA)
2016,11427,ZCTA5 11427,22941,6458,5335,7466,3730,0,ACS 2016 5-year (ZCTA)
2016,11428,ZCTA5 11428,19736,4457,3855,5595,4568,1261,ACS 2016 5-year (ZCTA)
2016,11429,ZCTA5 11429,26739,1163,20998,863,3201,514,ACS 2016 5-year (ZCTA)
2016,11432,ZCTA5 11432,64686,14659,10431,26885,16142,0,ACS 2016 5-year (ZCTA)
2016,11433,ZCTA5 11433,34703,1480,23416,2289,6860,658,ACS 2016 5-year (ZCTA)
2016,11434,ZCTA5 11434,66279,1839,58855,1037,5890,0,ACS 2016 5-year (ZCTA)
2016,11435,ZCTA5 11435,57627,11556,13942,12550,18267,1312,ACS 2016 5-year (ZCTA)
2016,11436,ZCTA5 11436,20136,1463,13551,1784,2975,363,ACS 2016 5-year (ZCTA)
2016,11691,ZCTA5 11691,64946,24927,30136,2142,17977,0,ACS 2016 5-year (ZCTA)
2016,11692,ZCTA5 11692,19403,5028,11160,1145,4853,0,ACS 2016 5-year (ZCTA)
2016,11693,ZCTA5 11693,12021,6911,2798,811,2664,0,ACS 2016 5-year (ZCTA)
2016,11694,ZCTA5 11694,21219,17345,1684,652,2948,0,ACS 2016 5-year (ZCTA)
2016,11697,ZCTA5 11697,3928,3776,13,10,150,0,ACS 2016 5-year (ZCTA)
